date,station,aqi,split,roll_mean_aqi_7,roll_mean_aqi_30,roll_std_aqi_7,roll_trend_aqi_7,roll_trend_aqi_30,roll_aqi_momentum,roll_episode_flag,roll_mean_pm25_7,roll_mean_pm10_7,roll_std_pm25_7,lag_aqi_1,lag_aqi_7,lag_aqi_14,lag_aqi_30,lag_pm25_1,lag_pm25_7,lag_pm10_1,lag_co_1,lag_no2_1,lag_temperature_1,lag_wind_speed_1,pm25,pm10,co,no2,o3,so2,nh3,temperature,humidity,wind_speed,pressure,sin_month,cos_month,sin_day_of_year,cos_day_of_year,sin_day_of_week,cos_day_of_week,season_Winter,season_Monsoon,season_Summer,season_Spring,year,quarter,is_weekend,is_covid_lockdown,is_diwali,is_stubble_burning,aqi_saturated,station_encoded,station_season_mean_winter,interact_pm25_humidity,interact_pm25_pm10_ratio,interact_co_pm25,interact_pm10_wind_accum,interact_temp_o3,interact_lag_aqi1_winter,interact_wind_speed_sq,interact_pm25_stubble
2015-02-10,noida_sector_1,451.0,train,439.7142857142857,464.8666666666667,30.445110640376463,2.392857142857143,-1.6266963292547274,-3.381,1,288.74285714285713,440.8,20.12277790157712,423.0,408.0,451.0,487.0,259.0,262.8,453.8,3.81,71.0,10.9,5.2,326.5,442.1,4.28,68.9,35.3,18.9,31.1,11.3,77.2,5.6,1029.4,0.866025,0.5,0.648262,0.761418,0.781831,0.62349,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,252.058,0.7385,1397.42,66.9848,3.9889,423.0,31.36,0.0
2015-02-11,noida_sector_1,468.0,train,445.8571428571428,463.6666666666667,27.13809482031104,-0.9285714285714286,-1.563515016685206,-11.8571,1,297.8428571428572,456.1571428571429,20.826494115497795,451.0,431.0,422.0,500.0,326.5,297.3,442.1,4.28,68.9,11.3,5.6,352.4,406.9,3.65,87.6,43.4,20.0,25.0,12.3,72.6,3.5,1029.0,0.866025,0.5,0.661263,0.750154,0.974928,-0.222521,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,255.8424,0.8661,1286.26,90.4222,5.3382,451.0,12.25,0.0
2015-02-12,noida_sector_1,495.0,train,451.1428571428572,462.6,27.364384221274303,-0.6785714285714286,-1.2849833147942158,-3.8095,1,305.7142857142857,455.82857142857137,29.28289765781555,468.0,430.0,500.0,443.0,352.4,295.0,406.9,3.65,87.6,12.3,3.5,302.6,525.9,3.95,72.3,24.5,19.3,32.4,13.1,74.8,7.9,1029.6,0.866025,0.5,0.674069,0.738668,0.433884,-0.900969,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,226.3448,0.5754,1195.27,59.0899,3.2095,468.0,62.41,0.0
2015-02-13,noida_sector_1,459.0,train,460.4285714285714,464.3333333333333,29.90461025135953,1.0,-1.2111234705228031,10.9048,1,306.8,475.9428571428571,28.95853357244925,495.0,500.0,487.0,500.0,302.6,313.2,525.9,3.95,72.3,13.1,7.9,317.7,489.0,4.25,68.3,37.8,17.8,25.0,14.2,74.9,6.9,1032.1,0.866025,0.5,0.686676,0.726964,-0.433884,-0.900969,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,237.9573,0.6497,1350.225,61.8987,5.3676,495.0,47.61,0.0
2015-02-14,noida_sector_1,413.0,train,454.57142857142856,462.9666666666666,24.36429862768576,6.5,-0.999555061179088,19.4286,1,307.4428571428571,465.6571428571429,29.173438669610537,459.0,458.0,432.0,500.0,317.7,300.6,489.0,4.25,68.3,14.2,6.9,256.2,443.1,3.97,76.1,39.5,15.5,26.8,15.6,77.2,1.3,1026.7,0.866025,0.5,0.699079,0.715044,-0.974928,-0.222521,1,0,0,0,2015,1,1,0,0,0,0,0,405.8392,197.7864,0.5782,1017.114,192.6522,6.162,459.0,1.69,0.0
2015-02-15,noida_sector_1,454.0,train,448.1428571428572,460.06666666666666,28.83532886020535,2.5357142857142856,-1.0665183537263625,7.5238,1,301.1,459.1142857142857,35.12814635967391,413.0,428.0,463.0,479.0,256.2,293.3,443.1,3.97,76.1,15.6,1.3,288.2,484.0,4.15,73.3,34.5,14.1,37.0,14.0,73.6,4.1,1030.0,0.866025,0.5,0.711276,0.702913,-0.781831,0.62349,1,0,0,0,2015,1,1,0,0,0,0,0,405.8392,212.1152,0.5955,1196.03,94.902,4.83,413.0,16.81,0.0
2015-02-16,noida_sector_1,398.0,train,451.8571428571428,459.23333333333335,27.449520769517857,0.2857142857142857,-0.9750834260289212,-9.8571,1,300.37142857142857,463.5428571428571,35.36894656266124,454.0,423.0,485.0,416.0,288.2,259.0,484.0,4.15,73.3,14.0,4.1,248.1,362.7,3.96,79.0,31.1,16.1,28.2,15.0,76.8,4.6,1029.4,0.866025,0.5,0.723262,0.690574,0.0,1.0,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,190.5408,0.684,982.476,64.7679,4.665,454.0,21.16,0.0
2015-02-17,noida_sector_1,438.0,train,448.2857142857143,458.6333333333333,32.91258262789623,-9.607142857142858,-1.668298109010011,-26.619,1,298.8142857142857,450.52857142857147,37.65967908216205,398.0,451.0,408.0,500.0,248.1,326.5,362.7,3.96,79.0,15.0,4.6,294.1,468.0,4.23,74.9,39.1,17.9,31.7,14.2,74.9,6.1,1030.0,0.866025,0.5,0.735034,0.678031,0.781831,0.62349,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,220.2809,0.6284,1244.043,65.9155,5.5522,398.0,37.21,0.0
2015-02-18,noida_sector_1,416.0,train,446.4285714285714,456.56666666666666,33.10013667070045,-10.321428571428571,-1.5161290322580647,-16.4286,1,294.1857142857143,454.2285714285714,35.625993720476544,438.0,468.0,431.0,479.0,294.1,352.4,468.0,4.23,74.9,14.2,6.1,271.7,446.1,3.81,81.3,38.1,17.2,32.4,14.8,82.9,2.9,1028.5,0.866025,0.5,0.746588,0.665287,0.974928,-0.222521,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,225.2393,0.6091,1035.177,114.3846,5.6388,438.0,8.41,0.0
2015-02-19,noida_sector_1,460.0,train,439.0,454.4666666666666,33.28663395418648,-10.5,-1.6231368186874306,-21.6667,1,282.6571428571429,459.8285714285715,25.17146910974534,416.0,495.0,430.0,492.0,271.7,302.6,446.1,3.81,81.3,14.8,2.9,258.1,490.7,3.82,67.2,28.8,16.1,29.5,13.2,76.3,1.8,1028.0,0.866025,0.5,0.757922,0.652346,0.433884,-0.900969,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,196.9303,0.526,985.942,175.25,3.8016,416.0,3.24,0.0
2015-02-20,noida_sector_1,482.0,train,434.0,453.4,25.09315975852117,-0.25,-1.328587319243604,4.0,1,276.3,454.8,24.913383284224423,460.0,459.0,500.0,500.0,258.1,317.7,490.7,3.82,67.2,13.2,1.8,271.3,512.4,4.07,69.7,35.3,17.1,30.3,12.6,67.7,2.2,1027.6,0.866025,0.5,0.769031,0.639212,-0.433884,-0.900969,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,183.6701,0.5295,1104.191,160.125,4.4478,460.0,4.84,0.0
2015-02-21,noida_sector_1,403.0,train,437.2857142857143,452.8,29.94836826781656,8.464285714285714,-0.8226918798665183,15.381,1,269.67142857142863,458.1428571428572,16.96827572125075,482.0,413.0,458.0,500.0,271.3,256.2,512.4,4.07,69.7,12.6,2.2,255.1,381.2,3.73,78.2,27.1,17.6,36.6,17.7,75.2,3.0,1025.9,0.866025,0.5,0.779913,0.625889,-0.974928,-0.222521,1,0,0,0,2015,1,1,0,0,0,0,0,405.8392,191.8352,0.6692,951.523,95.3,4.7967,482.0,9.0,0.0
2015-02-22,noida_sector_1,437.0,train,435.8571428571428,449.56666666666666,31.49829927381567,1.3214285714285714,-0.8184649610678532,12.4762,1,269.51428571428573,449.3,17.118258144588445,403.0,454.0,428.0,485.0,255.1,288.2,381.2,3.73,78.2,17.7,3.0,209.3,467.5,3.32,81.0,37.3,18.1,32.0,13.9,79.2,4.5,1030.3,0.866025,0.5,0.790563,0.61238,-0.781831,0.62349,1,0,0,0,2015,1,1,0,0,0,0,0,405.8392,165.7656,0.4477,694.876,85.0,5.1847,403.0,20.25,0.0
2015-02-23,noida_sector_1,385.0,train,433.4285714285714,447.9666666666666,30.506049361053734,4.035714285714286,-0.6551724137931033,7.2381,1,258.24285714285713,446.9428571428571,26.285284675578428,437.0,398.0,423.0,386.0,209.3,248.1,467.5,3.32,81.0,13.9,4.5,231.1,331.5,3.33,82.7,25.0,16.0,31.1,11.8,68.8,3.3,1026.4,0.866025,0.5,0.80098,0.598691,0.0,1.0,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,158.9968,0.6971,769.563,77.093,2.95,437.0,10.89,0.0
2015-02-24,noida_sector_1,410.0,train,431.57142857142856,447.9333333333333,33.2909254044659,-6.214285714285714,-1.488765294771969,-23.2381,1,255.81428571428572,442.4857142857142,28.101211632919014,385.0,438.0,451.0,500.0,231.1,294.1,331.5,3.33,82.7,11.8,3.3,265.3,397.6,4.29,79.8,28.9,18.5,32.2,13.0,77.2,1.9,1028.5,0.866025,0.5,0.81116,0.584824,0.781831,0.62349,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,204.8116,0.6673,1138.137,137.1034,3.757,385.0,3.61,0.0
2015-02-25,noida_sector_1,374.0,train,427.57142857142856,444.9333333333333,34.06296690374625,-7.607142857142857,-1.3744160177975528,-16.9048,1,251.7,432.4285714285714,23.251379887367435,410.0,416.0,468.0,461.0,265.3,271.7,397.6,4.29,79.8,13.0,1.9,216.3,400.2,3.6,70.1,21.8,18.6,38.5,14.2,74.3,1.1,1027.9,0.866025,0.5,0.8211,0.570784,0.974928,-0.222521,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,160.7109,0.5405,778.68,190.5714,3.0956,410.0,1.21,0.0
2015-02-26,noida_sector_1,427.0,train,421.57142857142856,442.03333333333336,39.67726949130586,-15.0,-1.721245828698554,-31.9048,1,243.78571428571428,425.87142857142857,24.693010385628785,374.0,460.0,495.0,451.0,216.3,258.1,400.2,3.6,70.1,14.2,1.1,291.7,426.6,4.0,71.4,35.8,17.2,23.3,16.8,71.4,7.2,1026.6,0.866025,0.5,0.830797,0.556576,0.433884,-0.900969,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,208.2738,0.6838,1166.8,52.0244,6.0144,374.0,51.84,0.0
2015-02-27,noida_sector_1,432.0,train,416.8571428571428,441.23333333333335,36.15443067098213,-8.928571428571429,-1.756395995550612,-13.1905,1,248.58571428571432,416.7142857142857,30.517941639382727,427.0,482.0,459.0,422.0,291.7,271.3,426.6,4.0,71.4,16.8,7.2,280.6,462.4,3.86,72.7,35.6,19.0,30.4,13.9,72.6,2.8,1026.1,0.866025,0.5,0.840248,0.542202,-0.433884,-0.900969,1,0,0,0,2015,1,0,0,0,0,0,0,405.8392,203.7156,0.6068,1083.116,121.6842,4.9484,427.0,7.84,0.0
2015-02-28,noida_sector_1,397.0,train,409.7142857142857,441.56666666666666,24.05351177211808,2.0,-1.9486095661846488,1.2857,1,249.9142857142857,409.57142857142856,31.845168580253585,432.0,403.0,413.0,500.0,280.6,255.1,462.4,3.86,72.7,13.9,2.8,247.0,357.8,3.82,70.5,34.8,18.7,33.6,14.7,78.1,6.9,1026.2,0.866025,0.5,0.84945,0.527668,-0.974928,-0.222521,1,0,0,0,2015,1,1,0,0,0,0,0,405.8392,192.907,0.6903,943.54,45.2911,5.1156,432.0,47.61,0.0
2015-03-01,noida_sector_1,435.0,train,408.8571428571428,438.1333333333333,24.4365066476952,-0.3214285714285714,-1.8331479421579533,9.8095,1,248.75714285714284,406.22857142857146,31.77241241196832,397.0,437.0,454.0,487.0,247.0,209.3,357.8,3.82,70.5,14.7,6.9,302.8,439.9,3.37,63.4,31.2,16.4,29.5,16.8,82.8,8.0,1026.3,1.0,0.0,0.858402,0.512978,-0.781831,0.62349,0,0,0,1,2015,1,1,0,0,0,0,0,405.8392,250.7184,0.6883,1020.436,48.8778,5.2416,0.0,64.0,0.0
2015-03-02,noida_sector_1,420.0,train,408.57142857142856,436.4,24.06142932064459,6.5,-1.5163515016685205,12.7619,1,262.11428571428576,402.2857142857143,32.07228443019667,435.0,385.0,398.0,432.0,302.8,231.1,439.9,3.37,63.4,16.8,8.0,249.1,450.8,3.59,82.1,33.9,18.1,30.7,16.7,73.7,3.6,1025.6,1.0,0.0,0.867099,0.498137,0.0,1.0,0,0,0,1,2015,1,0,0,0,0,0,0,405.8392,183.5867,0.5526,894.269,98.0,5.6613,0.0,12.96,0.0
2015-03-03,noida_sector_1,421.0,train,413.57142857142856,436.0,21.88498071628981,4.357142857142857,-1.6525027808676307,3.7619,1,264.6857142857143,419.3285714285715,29.81327604560484,420.0,410.0,438.0,463.0,249.1,265.3,450.8,3.59,82.1,16.7,3.6,282.1,426.6,3.84,61.1,26.8,17.4,32.3,18.9,67.4,7.6,1023.5,1.0,0.0,0.875539,0.483147,0.781831,0.62349,0,0,0,1,2015,1,0,0,0,0,0,0,405.8392,190.1354,0.6613,1083.264,49.6047,5.0652,0.0,57.76,0.0
2015-03-04,noida_sector_1,422.0,train,415.1428571428572,434.6,21.980510848086617,4.642857142857143,-1.563070077864294,10.1905,1,267.0857142857143,423.4714285714285,30.538359952221324,421.0,374.0,416.0,485.0,282.1,216.3,426.6,3.84,61.1,18.9,7.6,283.7,363.9,3.88,74.9,24.6,21.0,27.3,13.4,76.1,5.1,1025.0,1.0,0.0,0.88372,0.468015,0.974928,-0.222521,0,0,0,1,2015,1,0,0,0,0,0,0,405.8392,215.8957,0.7796,1100.756,59.6557,3.2964,0.0,26.01,0.0
2015-03-05,noida_sector_1,427.0,train,422.0,432.5,12.409673645990802,-0.5,-1.2967741935483872,-1.0,1,276.7142857142857,418.2857142857143,20.989793438036354,422.0,427.0,460.0,408.0,283.7,291.7,363.9,3.88,74.9,13.4,5.1,291.9,435.2,3.19,70.9,11.1,19.4,27.3,16.7,71.5,4.8,1025.0,1.0,0.0,0.89164,0.452745,0.433884,-0.900969,0,0,0,1,2015,1,0,0,0,0,0,0,405.8392,208.7085,0.6707,931.161,75.0345,1.8537,0.0,23.04,0.0
2015-03-06,noida_sector_1,465.0,train,422.0,433.1333333333333,12.409673645990802,0.75,-1.5012235817575084,1.3333,1,276.74285714285713,419.5142857142857,21.013714342690488,427.0,432.0,482.0,431.0,291.9,280.6,435.2,3.19,70.9,16.7,4.8,275.6,495.8,3.61,82.5,34.9,17.7,28.9,12.4,67.3,7.3,1023.1,1.0,0.0,0.899296,0.43734,-0.433884,-0.900969,0,0,0,1,2015,1,0,0,0,0,0,0,405.8392,185.4788,0.5559,994.916,59.7349,4.3276,0.0,53.29,0.0
2015-03-07,noida_sector_1,443.0,train,426.7142857142857,434.26666666666665,20.48344279098192,6.785714285714286,-1.3103448275862069,11.2857,1,276.0285714285714,424.2857142857143,20.945621203942675,465.0,397.0,403.0,430.0,275.6,247.0,495.8,3.61,82.5,12.4,7.3,315.0,356.8,3.76,69.2,27.6,16.2,31.6,17.7,69.1,7.2,1024.5,1.0,0.0,0.906686,0.421806,-0.974928,-0.222521,0,0,0,1,2015,1,1,0,0,0,0,0,405.8392,217.665,0.8828,1184.4,43.5122,4.8852,0.0,51.84,0.0
2015-03-08,noida_sector_1,392.0,train,433.2857142857143,434.7,16.31680407549525,4.285714285714286,-1.2834260289210233,11.7143,1,285.74285714285713,424.1428571428572,21.007368321841938,443.0,435.0,437.0,500.0,315.0,302.8,356.8,3.76,69.2,17.7,7.2,240.6,354.8,3.55,75.3,21.7,17.7,30.8,16.7,63.6,3.5,1022.9,1.0,0.0,0.913808,0.406147,-0.781831,0.62349,0,0,0,1,2015,1,1,0,0,0,0,0,405.8392,153.0216,0.6781,854.13,78.8444,3.6239,0.0,12.25,0.0
2015-03-09,noida_sector_1,442.0,train,427.1428571428572,431.1,22.490209510129603,0.1071428571428571,-1.1085650723025584,6.1905,1,276.8571428571429,411.9857142857143,25.30512840926773,392.0,420.0,385.0,458.0,240.6,249.1,354.8,3.55,75.3,16.7,3.5,312.8,472.4,3.72,67.6,26.4,19.0,29.9,17.6,70.7,7.0,1025.7,1.0,0.0,0.920659,0.390368,0.0,1.0,0,0,0,1,2015,1,0,0,0,0,0,0,405.8392,221.1496,0.6622,1163.616,59.05,4.6464,0.0,49.0,0.0
2015-03-10,noida_sector_1,500.0,train,430.2857142857143,430.56666666666666,22.859821271642318,0.6785714285714286,-0.8527252502780868,-4.619,1,285.95714285714286,415.07142857142856,25.112603551660307,442.0,421.0,410.0,428.0,312.8,282.1,472.4,3.72,67.6,17.6,7.0,239.4,560.2,3.7,72.1,14.7,16.4,22.7,16.4,79.0,8.1,1026.3,1.0,0.0,0.927238,0.374474,0.781831,0.62349,0,0,0,1,2015,1,0,0,0,0,1,0,405.8392,189.126,0.4273,885.78,61.5604,2.4108,0.0,65.61,0.0
2015-03-11,noida_sector_1,392.0,train,441.57142857142856,432.9666666666666,34.19969367726934,6.821428571428571,-0.4224694104560624,3.0952,1,279.85714285714283,434.1571428571429,30.75732200863499,500.0,422.0,374.0,423.0,239.4,283.7,560.2,3.7,72.1,16.4,8.1,240.6,407.3,3.88,69.5,38.5,17.3,29.7,15.5,68.5,4.6,1023.9,1.0,0.0,0.933542,0.358468,0.974928,-0.222521,0,0,0,1,2015,1,0,0,0,0,0,0,405.8392,164.811,0.5907,933.528,72.7321,5.9675,0.0,21.16,0.0
2015-03-12,noida_sector_1,362.0,train,437.2857142857143,431.9333333333333,38.65106417557954,-1.2857142857142858,-0.7555061179087875,7.381,1,273.7,440.3571428571428,34.00259793996148,392.0,427.0,427.0,451.0,240.6,291.9,407.3,3.88,69.5,15.5,4.6,201.1,320.0,3.55,56.4,28.8,20.7,25.7,15.2,74.3,5.1,1022.2,1.0,0.0,0.93957,0.342357,0.433884,-0.900969,0,0,0,1,2015,1,0,0,0,0,0,0,405.8392,149.4173,0.6284,713.905,52.459,4.3776,0.0,26.01,0.0
2015-03-13,noida_sector_1,405.0,train,428.0,428.9666666666666,48.16983841921555,-10.821428571428571,-1.0751946607341492,-10.0,1,260.7285714285714,423.9,42.22711270758464,362.0,465.0,432.0,468.0,201.1,275.6,320.0,3.55,56.4,15.2,5.1,258.8,396.5,3.45,65.1,28.6,15.9,29.2,15.8,68.7,6.7,1022.6,1.0,0.0,0.94532,0.326144,-0.433884,-0.900969,0,0,0,1,2015,1,0,0,0,0,0,0,405.8392,177.7956,0.6527,892.86,51.4935,4.5188,0.0,44.89,0.0
2015-03-14,noida_sector_1,406.0,train,419.4285714285714,426.8666666666667,45.76700828783814,-8.0,-0.9606229143492768,-33.0952,1,258.3285714285715,409.7142857142857,41.715333483253566,405.0,443.0,397.0,495.0,258.8,315.0,396.5,3.45,65.1,15.8,6.7,259.4,375.7,3.5,62.8,24.7,15.9,24.9,18.0,65.7,5.9,1024.4,1.0,0.0,0.95079,0.309835,-0.974928,-0.222521,0,0,0,1,2015,1,1,0,0,0,0,0,405.8392,170.4258,0.6904,907.9,54.4493,4.446,0.0,34.81,0.0
2015-03-15,noida_sector_1,416.0,train,414.1428571428572,423.9,44.71550279798031,-6.071428571428571,-0.6253615127919911,-23.1429,1,250.3857142857143,412.41428571428565,33.63750033179397,406.0,392.0,435.0,459.0,259.4,240.6,375.7,3.5,62.8,18.0,5.9,274.5,418.7,3.44,66.9,38.4,15.5,21.4,16.3,60.8,3.4,1022.1,1.0,0.0,0.955979,0.293434,-0.781831,0.62349,0,0,0,1,2015,1,1,0,0,0,0,0,405.8392,166.896,0.6556,944.28,95.1591,6.2592,0.0,11.56,0.0
2015-03-16,noida_sector_1,446.0,train,417.57142857142856,422.4666666666666,43.64194138233362,-9.035714285714286,-0.4342602892102335,-8.5714,1,255.22857142857143,421.54285714285714,34.42492867510003,416.0,442.0,420.0,413.0,274.5,312.8,418.7,3.44,66.9,16.3,3.4,248.4,476.6,3.44,77.5,27.0,16.0,31.6,17.4,74.0,5.4,1020.8,1.0,0.0,0.960885,0.276946,0.0,1.0,0,0,0,1,2015,1,0,0,0,0,0,0,405.8392,183.816,0.5212,854.496,74.4688,4.698,0.0,29.16,0.0
2015-03-17,noida_sector_1,425.0,train,418.1428571428572,423.56666666666666,44.03948444834688,-2.5,-0.3477196885428253,4.5238,1,246.02857142857144,422.1428571428572,23.274214221302067,446.0,500.0,421.0,454.0,248.4,239.4,476.6,3.44,77.5,17.4,5.4,239.8,455.0,3.51,76.1,25.3,19.7,27.1,15.8,67.2,8.4,1020.5,1.0,0.0,0.965507,0.260376,0.781831,0.62349,0,0,0,1,2015,1,0,0,0,0,0,0,405.8392,161.1456,0.527,841.698,48.4043,3.9974,0.0,70.56,0.0
2015-03-18,noida_sector_1,394.0,train,407.4285714285714,422.6,26.393541778606355,9.928571428571429,-0.1285873192436041,21.5714,1,246.08571428571423,407.11428571428576,23.255711024135703,425.0,392.0,422.0,398.0,239.8,240.6,455.0,3.51,76.1,15.8,8.4,243.0,353.6,3.3,71.7,31.0,19.2,26.3,17.9,62.3,5.6,1019.5,1.0,0.0,0.969843,0.24373,0.974928,-0.222521,0,0,0,1,2015,1,0,0,0,0,0,0,405.8392,151.389,0.6872,801.9,53.5758,5.549,0.0,31.36,0.0
