date,station,aqi,aqi_category,pm25,pm10,no2,nh3,so2,co,o3,pb,temperature,humidity,wind_speed,wind_direction,pressure,year,month,day_of_week,day_of_year,season,aqi_saturated,split
2015-01-17,noida_sector_1,416.0,Severe,274.3,426.2,73.3,36.2,17.8,4.17,31.1,0.12,10.5,76.8,6.5,335.0,1031.7,2015,1,5,17,Winter,0,Train
2015-01-18,noida_sector_1,500.0,Severe,283.7,551.8,70.7,26.1,21.4,4.01,26.8,0.12,13.7,73.0,5.9,348.0,1033.8,2015,1,6,18,Winter,1,Train
2015-01-19,noida_sector_1,479.0,Severe,256.7,509.9,72.5,27.4,16.5,4.76,38.5,0.13,14.8,82.8,6.9,325.0,1033.0,2015,1,0,19,Winter,0,Train
2015-01-20,noida_sector_1,492.0,Severe,298.0,522.6,77.0,31.9,11.2,3.96,31.0,0.11,12.4,78.2,4.7,328.0,1032.4,2015,1,1,20,Winter,0,Train
2015-01-21,noida_sector_1,500.0,Severe,278.7,532.4,75.8,31.2,12.5,4.13,29.1,0.12,7.8,82.1,3.5,277.0,1034.5,2015,1,2,21,Winter,1,Train
2015-01-22,noida_sector_1,500.0,Severe,271.8,552.2,87.7,33.0,20.1,4.87,29.5,0.14,15.1,84.8,1.2,312.0,1032.1,2015,1,3,22,Winter,1,Train
2015-01-23,noida_sector_1,485.0,Severe,354.9,515.0,75.4,27.9,17.6,4.31,30.8,0.12,12.0,78.7,3.3,262.0,1033.6,2015,1,4,23,Winter,0,Train
2015-01-24,noida_sector_1,386.0,Very Poor,232.3,360.4,80.5,28.5,16.9,3.51,35.5,0.12,12.4,85.2,4.4,262.0,1031.2,2015,1,5,24,Winter,0,Train
2015-01-25,noida_sector_1,500.0,Severe,335.3,611.5,80.3,32.5,19.5,4.56,31.1,0.13,10.5,73.0,6.8,329.0,1031.8,2015,1,6,25,Winter,1,Train
2015-01-26,noida_sector_1,461.0,Severe,342.5,404.9,72.7,27.6,15.7,3.87,26.6,0.11,10.1,90.3,3.1,260.0,1033.7,2015,1,0,26,Winter,0,Train
2015-01-27,noida_sector_1,451.0,Severe,274.7,481.5,76.9,25.1,15.7,4.52,26.7,0.12,12.1,79.6,4.6,307.0,1031.2,2015,1,1,27,Winter,0,Train
2015-01-28,noida_sector_1,422.0,Severe,283.9,439.9,78.3,26.1,17.3,4.37,24.2,0.12,14.7,84.5,4.8,318.0,1032.4,2015,1,2,28,Winter,0,Train
2015-01-29,noida_sector_1,500.0,Severe,353.0,574.1,88.2,28.7,19.5,4.31,24.0,0.11,8.6,76.1,4.5,276.0,1032.9,2015,1,3,29,Winter,1,Train
2015-01-30,noida_sector_1,487.0,Severe,339.5,517.6,70.7,26.0,15.8,4.11,39.6,0.13,9.3,78.1,4.4,43.0,1032.0,2015,1,4,30,Winter,0,Train
2015-01-31,noida_sector_1,432.0,Severe,298.6,452.5,82.8,30.1,15.8,4.48,20.6,0.12,12.1,74.5,4.0,326.0,1030.8,2015,1,5,31,Winter,0,Train
2015-02-01,noida_sector_1,463.0,Severe,344.6,451.5,85.0,27.5,15.1,4.36,31.5,0.13,14.8,81.6,4.4,350.0,1032.3,2015,2,6,32,Winter,0,Train
2015-02-02,noida_sector_1,485.0,Severe,378.5,429.5,85.8,28.4,19.9,3.84,33.7,0.12,13.2,73.2,2.0,309.0,1031.9,2015,2,0,33,Winter,0,Train
2015-02-03,noida_sector_1,408.0,Severe,262.8,334.6,65.9,31.8,17.5,3.93,38.1,0.12,12.2,77.7,4.8,264.0,1029.6,2015,2,1,34,Winter,0,Train
2015-02-04,noida_sector_1,431.0,Severe,297.3,409.2,65.0,24.9,17.3,4.06,30.8,0.13,13.9,83.6,3.8,345.0,1031.3,2015,2,2,35,Winter,0,Train
2015-02-05,noida_sector_1,430.0,Severe,295.0,385.1,89.0,28.1,18.4,4.32,29.8,0.13,9.4,67.7,3.6,337.0,1031.5,2015,2,3,36,Winter,0,Train
2015-02-06,noida_sector_1,500.0,Severe,313.2,561.0,83.1,28.8,14.8,4.11,39.8,0.12,10.4,65.6,3.3,335.0,1031.0,2015,2,4,37,Winter,1,Train
2015-02-07,noida_sector_1,458.0,Severe,300.6,488.9,85.2,29.0,15.4,4.17,35.8,0.12,14.1,86.9,4.6,256.0,1032.9,2015,2,5,38,Winter,0,Train
2015-02-08,noida_sector_1,428.0,Severe,293.3,453.0,67.0,35.8,19.1,4.45,29.5,0.13,11.2,73.4,1.9,25.0,1032.5,2015,2,6,39,Winter,0,Train
2015-02-09,noida_sector_1,423.0,Severe,259.0,453.8,71.0,28.2,18.1,3.81,27.6,0.11,10.9,72.7,5.2,287.0,1030.8,2015,2,0,40,Winter,0,Train
2015-02-10,noida_sector_1,451.0,Severe,326.5,442.1,68.9,31.1,18.9,4.28,35.3,0.12,11.3,77.2,5.6,28.0,1029.4,2015,2,1,41,Winter,0,Train
2015-02-11,noida_sector_1,468.0,Severe,352.4,406.9,87.6,25.0,20.0,3.65,43.4,0.12,12.3,72.6,3.5,291.0,1029.0,2015,2,2,42,Winter,0,Train
2015-02-12,noida_sector_1,495.0,Severe,302.6,525.9,72.3,32.4,19.3,3.95,24.5,0.12,13.1,74.8,7.9,4.0,1029.6,2015,2,3,43,Winter,0,Train
2015-02-13,noida_sector_1,459.0,Severe,317.7,489.0,68.3,25.0,17.8,4.25,37.8,0.11,14.2,74.9,6.9,0.0,1032.1,2015,2,4,44,Winter,0,Train
2015-02-14,noida_sector_1,413.0,Severe,256.2,443.1,76.1,26.8,15.5,3.97,39.5,0.11,15.6,77.2,1.3,20.0,1026.7,2015,2,5,45,Winter,0,Train
2015-02-15,noida_sector_1,454.0,Severe,288.2,484.0,73.3,37.0,14.1,4.15,34.5,0.12,14.0,73.6,4.1,315.0,1030.0,2015,2,6,46,Winter,0,Train
2015-02-16,noida_sector_1,398.0,Very Poor,248.1,362.7,79.0,28.2,16.1,3.96,31.1,0.11,15.0,76.8,4.6,305.0,1029.4,2015,2,0,47,Winter,0,Train
2015-02-17,noida_sector_1,438.0,Severe,294.1,468.0,74.9,31.7,17.9,4.23,39.1,0.11,14.2,74.9,6.1,52.0,1030.0,2015,2,1,48,Winter,0,Train
2015-02-18,noida_sector_1,416.0,Severe,271.7,446.1,81.3,32.4,17.2,3.81,38.1,0.11,14.8,82.9,2.9,352.0,1028.5,2015,2,2,49,Winter,0,Train
2015-02-19,noida_sector_1,460.0,Severe,258.1,490.7,67.2,29.5,16.1,3.82,28.8,0.13,13.2,76.3,1.8,335.0,1028.0,2015,2,3,50,Winter,0,Train
2015-02-20,noida_sector_1,482.0,Severe,271.3,512.4,69.7,30.3,17.1,4.07,35.3,0.11,12.6,67.7,2.2,310.0,1027.6,2015,2,4,51,Winter,0,Train
2015-02-21,noida_sector_1,403.0,Severe,255.1,381.2,78.2,36.6,17.6,3.73,27.1,0.1,17.7,75.2,3.0,323.0,1025.9,2015,2,5,52,Winter,0,Train
2015-02-22,noida_sector_1,437.0,Severe,209.3,467.5,81.0,32.0,18.1,3.32,37.3,0.1,13.9,79.2,4.5,288.0,1030.3,2015,2,6,53,Winter,0,Train
2015-02-23,noida_sector_1,385.0,Very Poor,231.1,331.5,82.7,31.1,16.0,3.33,25.0,0.1,11.8,68.8,3.3,40.0,1026.4,2015,2,0,54,Winter,0,Train
2015-02-24,noida_sector_1,410.0,Severe,265.3,397.6,79.8,32.2,18.5,4.29,28.9,0.12,13.0,77.2,1.9,333.0,1028.5,2015,2,1,55,Winter,0,Train
2015-02-25,noida_sector_1,374.0,Very Poor,216.3,400.2,70.1,38.5,18.6,3.6,21.8,0.1,14.2,74.3,1.1,326.0,1027.9,2015,2,2,56,Winter,0,Train
2015-02-26,noida_sector_1,427.0,Severe,291.7,426.6,71.4,23.3,17.2,4.0,35.8,0.11,16.8,71.4,7.2,18.0,1026.6,2015,2,3,57,Winter,0,Train
2015-02-27,noida_sector_1,432.0,Severe,280.6,462.4,72.7,30.4,19.0,3.86,35.6,0.11,13.9,72.6,2.8,6.0,1026.1,2015,2,4,58,Winter,0,Train
2015-02-28,noida_sector_1,397.0,Very Poor,247.0,357.8,70.5,33.6,18.7,3.82,34.8,0.11,14.7,78.1,6.9,321.0,1026.2,2015,2,5,59,Winter,0,Train
2015-03-01,noida_sector_1,435.0,Severe,302.8,439.9,63.4,29.5,16.4,3.37,31.2,0.12,16.8,82.8,8.0,295.0,1026.3,2015,3,6,60,Spring,0,Train
2015-03-02,noida_sector_1,420.0,Severe,249.1,450.8,82.1,30.7,18.1,3.59,33.9,0.11,16.7,73.7,3.6,25.0,1025.6,2015,3,0,61,Spring,0,Train
2015-03-03,noida_sector_1,421.0,Severe,282.1,426.6,61.1,32.3,17.4,3.84,26.8,0.11,18.9,67.4,7.6,13.0,1023.5,2015,3,1,62,Spring,0,Train
2015-03-04,noida_sector_1,422.0,Severe,283.7,363.9,74.9,27.3,21.0,3.88,24.6,0.11,13.4,76.1,5.1,319.0,1025.0,2015,3,2,63,Spring,0,Train
2015-03-05,noida_sector_1,427.0,Severe,291.9,435.2,70.9,27.3,19.4,3.19,11.1,0.09,16.7,71.5,4.8,358.0,1025.0,2015,3,3,64,Spring,0,Train
2015-03-06,noida_sector_1,465.0,Severe,275.6,495.8,82.5,28.9,17.7,3.61,34.9,0.11,12.4,67.3,7.3,7.0,1023.1,2015,3,4,65,Spring,0,Train
2015-03-07,noida_sector_1,443.0,Severe,315.0,356.8,69.2,31.6,16.2,3.76,27.6,0.1,17.7,69.1,7.2,313.0,1024.5,2015,3,5,66,Spring,0,Train
2015-03-08,noida_sector_1,392.0,Very Poor,240.6,354.8,75.3,30.8,17.7,3.55,21.7,0.09,16.7,63.6,3.5,358.0,1022.9,2015,3,6,67,Spring,0,Train
2015-03-09,noida_sector_1,442.0,Severe,312.8,472.4,67.6,29.9,19.0,3.72,26.4,0.09,17.6,70.7,7.0,22.0,1025.7,2015,3,0,68,Spring,0,Train
2015-03-10,noida_sector_1,500.0,Severe,239.4,560.2,72.1,22.7,16.4,3.7,14.7,0.1,16.4,79.0,8.1,6.0,1026.3,2015,3,1,69,Spring,1,Train
2015-03-11,noida_sector_1,392.0,Very Poor,240.6,407.3,69.5,29.7,17.3,3.88,38.5,0.09,15.5,68.5,4.6,0.0,1023.9,2015,3,2,70,Spring,0,Train
2015-03-12,noida_sector_1,362.0,Very Poor,201.1,320.0,56.4,25.7,20.7,3.55,28.8,0.09,15.2,74.3,5.1,30.0,1022.2,2015,3,3,71,Spring,0,Train
2015-03-13,noida_sector_1,405.0,Severe,258.8,396.5,65.1,29.2,15.9,3.45,28.6,0.11,15.8,68.7,6.7,14.0,1022.6,2015,3,4,72,Spring,0,Train
2015-03-14,noida_sector_1,406.0,Severe,259.4,375.7,62.8,24.9,15.9,3.5,24.7,0.09,18.0,65.7,5.9,34.0,1024.4,2015,3,5,73,Spring,0,Train
2015-03-15,noida_sector_1,416.0,Severe,274.5,418.7,66.9,21.4,15.5,3.44,38.4,0.08,16.3,60.8,3.4,326.0,1022.1,2015,3,6,74,Spring,0,Train
2015-03-16,noida_sector_1,446.0,Severe,248.4,476.6,77.5,31.6,16.0,3.44,27.0,0.1,17.4,74.0,5.4,354.0,1020.8,2015,3,0,75,Spring,0,Train
2015-03-17,noida_sector_1,425.0,Severe,239.8,455.0,76.1,27.1,19.7,3.51,25.3,0.11,15.8,67.2,8.4,30.0,1020.5,2015,3,1,76,Spring,0,Train
2015-03-18,noida_sector_1,394.0,Very Poor,243.0,353.6,71.7,26.3,19.2,3.3,31.0,0.09,17.9,62.3,5.6,335.0,1019.5,2015,3,2,77,Spring,0,Train
2015-03-19,noida_sector_1,356.0,Very Poor,193.2,356.0,62.0,22.4,19.1,3.18,32.1,0.1,17.4,72.9,8.3,353.0,1021.3,2015,3,3,78,Spring,0,Train
2015-03-20,noida_sector_1,395.0,Very Poor,243.6,346.5,64.9,23.9,17.5,3.37,29.7,0.09,19.7,58.7,5.6,297.0,1022.6,2015,3,4,79,Spring,0,Train
2015-03-21,noida_sector_1,388.0,Very Poor,234.8,401.7,73.2,26.3,20.6,3.0,39.9,0.1,18.1,69.7,8.4,338.0,1020.7,2015,3,5,80,Spring,0,Train
2015-03-22,noida_sector_1,374.0,Very Poor,216.6,314.0,71.0,32.6,17.6,3.68,32.9,0.1,18.7,63.8,3.9,345.0,1018.3,2015,3,6,81,Spring,0,Train
2015-03-23,noida_sector_1,378.0,Very Poor,221.8,370.5,71.5,28.1,17.6,3.16,43.6,0.07,19.6,71.9,7.7,30.0,1020.5,2015,3,0,82,Spring,0,Train
2015-03-24,noida_sector_1,386.0,Very Poor,206.3,419.5,70.2,21.7,12.4,2.92,42.3,0.09,19.4,68.7,4.1,46.0,1020.2,2015,3,1,83,Spring,0,Train
2015-03-25,noida_sector_1,377.0,Very Poor,221.2,371.9,71.0,24.2,17.1,3.29,34.1,0.1,21.0,66.9,9.5,25.0,1018.6,2015,3,2,84,Spring,0,Train
2015-03-26,noida_sector_1,411.0,Severe,204.0,441.2,63.6,29.6,16.4,2.73,51.5,0.08,18.7,67.4,7.6,358.0,1018.1,2015,3,3,85,Spring,0,Train
2015-03-27,noida_sector_1,405.0,Severe,257.9,345.5,72.3,24.9,17.9,2.95,38.4,0.09,18.4,65.4,7.0,345.0,1019.6,2015,3,4,86,Spring,0,Train
2015-03-28,noida_sector_1,381.0,Very Poor,226.2,344.4,68.1,23.1,19.8,2.71,47.2,0.08,21.4,69.2,6.7,26.0,1019.9,2015,3,5,87,Spring,0,Train
2015-03-29,noida_sector_1,386.0,Very Poor,231.8,308.8,71.0,24.6,21.1,2.87,25.6,0.09,19.6,69.9,6.3,26.0,1019.8,2015,3,6,88,Spring,0,Train
2015-03-30,noida_sector_1,372.0,Very Poor,213.7,364.9,56.5,27.7,15.5,2.97,41.5,0.11,18.6,62.0,10.8,354.0,1017.8,2015,3,0,89,Spring,0,Train
2015-03-31,noida_sector_1,335.0,Very Poor,166.6,302.6,55.4,30.9,15.9,3.12,43.8,0.09,26.0,65.1,9.5,7.0,1019.7,2015,3,1,90,Spring,0,Train
2015-04-01,noida_sector_1,357.0,Very Poor,174.8,396.0,63.0,24.7,22.4,3.19,49.6,0.1,20.7,70.7,6.2,14.0,1018.4,2015,4,2,91,Spring,0,Train
2015-04-02,noida_sector_1,379.0,Very Poor,223.8,354.9,61.8,24.7,18.3,2.95,40.3,0.08,20.3,72.5,5.7,323.0,1017.7,2015,4,3,92,Spring,0,Train
2015-04-03,noida_sector_1,388.0,Very Poor,235.2,397.1,55.4,26.0,17.9,3.22,28.2,0.09,21.3,65.0,7.0,46.0,1017.7,2015,4,4,93,Spring,0,Train
2015-04-04,noida_sector_1,390.0,Very Poor,208.9,422.3,60.2,32.3,14.3,2.89,44.7,0.09,19.9,58.6,14.0,359.0,1015.9,2015,4,5,94,Spring,0,Train
2015-04-05,noida_sector_1,359.0,Very Poor,194.0,397.7,60.4,27.4,16.5,2.62,48.0,0.07,21.7,63.6,2.9,344.0,1019.1,2015,4,6,95,Spring,0,Train
2015-04-06,noida_sector_1,355.0,Very Poor,192.5,365.1,62.0,32.1,19.1,2.96,40.0,0.07,23.4,61.3,6.4,36.0,1017.4,2015,4,0,96,Spring,0,Train
2015-04-07,noida_sector_1,357.0,Very Poor,177.7,395.8,55.5,30.3,16.6,3.18,45.3,0.09,25.4,52.4,4.7,18.0,1015.5,2015,4,1,97,Spring,0,Train
2015-04-08,noida_sector_1,353.0,Very Poor,189.0,263.0,52.2,22.2,14.7,2.73,46.0,0.08,20.8,61.7,8.1,313.0,1016.8,2015,4,2,98,Spring,0,Train
2015-04-09,noida_sector_1,370.0,Very Poor,205.1,406.4,66.3,23.0,15.7,2.77,46.7,0.09,24.6,61.0,6.4,13.0,1014.0,2015,4,3,99,Spring,0,Train
2015-04-10,noida_sector_1,386.0,Very Poor,232.5,325.2,62.1,29.0,17.5,2.27,45.1,0.08,25.1,71.2,6.5,340.0,1015.6,2015,4,4,100,Spring,0,Train
2015-04-11,noida_sector_1,348.0,Very Poor,182.5,373.1,56.9,27.8,16.3,2.31,50.4,0.08,21.5,62.6,3.9,331.0,1013.9,2015,4,5,101,Spring,0,Train
2015-04-12,noida_sector_1,343.0,Very Poor,176.1,382.5,62.5,28.9,19.9,2.75,51.2,0.08,23.4,64.8,10.5,3.0,1012.4,2015,4,6,102,Spring,0,Train
2015-04-13,noida_sector_1,346.0,Very Poor,180.4,310.1,57.2,25.5,16.7,2.8,53.3,0.07,23.6,65.7,7.9,359.0,1011.6,2015,4,0,103,Spring,0,Train
2015-04-14,noida_sector_1,335.0,Very Poor,166.2,303.4,68.1,28.1,15.5,2.58,45.7,0.08,20.2,63.1,12.1,320.0,1015.0,2015,4,1,104,Spring,0,Train
2015-04-15,noida_sector_1,355.0,Very Poor,192.1,292.7,60.8,25.6,18.3,2.76,64.6,0.08,22.8,69.3,7.9,4.0,1014.5,2015,4,2,105,Spring,0,Train
2015-04-16,noida_sector_1,333.0,Very Poor,163.9,332.6,55.0,22.5,15.9,2.21,62.8,0.08,24.6,67.9,8.1,296.0,1012.6,2015,4,3,106,Spring,0,Train
2015-04-17,noida_sector_1,324.0,Very Poor,152.1,270.6,57.6,25.8,17.6,2.52,57.8,0.06,24.5,67.4,9.9,3.0,1012.8,2015,4,4,107,Spring,0,Train
2015-04-18,noida_sector_1,313.0,Very Poor,138.1,288.0,60.4,23.9,17.6,2.05,59.6,0.08,26.6,66.2,7.0,331.0,1012.6,2015,4,5,108,Spring,0,Train
2015-04-19,noida_sector_1,326.0,Very Poor,154.5,319.2,50.1,25.3,19.5,2.52,60.2,0.07,26.4,56.3,6.8,17.0,1012.2,2015,4,6,109,Spring,0,Train
2015-04-20,noida_sector_1,330.0,Very Poor,159.9,321.0,61.7,33.5,21.2,2.73,63.5,0.06,22.6,57.2,10.5,50.0,1012.7,2015,4,0,110,Spring,0,Train
2015-04-21,noida_sector_1,338.0,Very Poor,169.4,303.1,56.7,23.1,16.8,2.01,63.2,0.06,25.7,60.6,11.8,22.0,1012.1,2015,4,1,111,Spring,0,Train
2015-04-22,noida_sector_1,353.0,Very Poor,189.9,303.0,54.5,28.2,17.3,2.75,57.9,0.06,24.6,55.3,8.5,351.0,1011.0,2015,4,2,112,Spring,0,Train
2015-04-23,noida_sector_1,337.0,Very Poor,168.7,329.6,54.5,32.4,15.5,1.82,61.2,0.06,27.1,48.5,9.8,317.0,1011.2,2015,4,3,113,Spring,0,Train
2015-04-24,noida_sector_1,304.0,Very Poor,126.4,216.9,66.7,28.5,17.2,2.25,61.9,0.06,27.7,56.5,9.8,346.0,1009.5,2015,4,4,114,Spring,0,Train
2015-04-25,noida_sector_1,345.0,Very Poor,179.7,337.5,54.6,24.6,16.1,2.2,59.5,0.07,26.4,64.5,5.9,326.0,1010.2,2015,4,5,115,Spring,0,Train
2015-04-26,noida_sector_1,345.0,Very Poor,157.0,386.5,55.6,26.1,10.8,2.23,56.7,0.07,30.1,57.5,12.8,323.0,1009.3,2015,4,6,116,Spring,0,Train
2015-04-27,noida_sector_1,318.0,Very Poor,144.3,292.6,53.6,27.1,17.3,2.49,50.0,0.07,25.8,53.3,13.0,340.0,1010.1,2015,4,0,117,Spring,0,Train
2015-04-28,noida_sector_1,334.0,Very Poor,164.4,277.8,51.5,24.3,15.2,2.03,64.3,0.07,26.7,57.2,13.3,14.0,1010.4,2015,4,1,118,Spring,0,Train
2015-04-29,noida_sector_1,321.0,Very Poor,148.5,269.0,68.2,25.0,20.9,1.7,66.5,0.07,29.8,64.7,10.9,10.0,1007.1,2015,4,2,119,Spring,0,Train
2015-04-30,noida_sector_1,323.0,Very Poor,150.5,269.3,63.2,30.4,18.7,2.15,65.0,0.05,27.4,62.5,12.8,339.0,1008.8,2015,4,3,120,Spring,0,Train
2015-05-01,noida_sector_1,326.0,Very Poor,154.2,276.6,51.1,22.5,17.2,2.09,61.3,0.05,25.0,38.3,7.0,354.0,1010.8,2015,5,4,121,Summer,0,Train
2015-05-02,noida_sector_1,314.0,Very Poor,138.4,340.4,62.8,22.8,18.4,1.97,64.6,0.07,27.6,30.3,12.0,32.0,1006.1,2015,5,5,122,Summer,0,Train
2015-05-03,noida_sector_1,342.0,Very Poor,175.0,245.4,65.0,22.1,16.8,2.22,64.0,0.06,30.5,30.6,10.6,344.0,1008.3,2015,5,6,123,Summer,0,Train
2015-05-04,noida_sector_1,318.0,Very Poor,143.6,292.6,59.9,27.3,16.1,1.79,68.9,0.06,28.7,38.1,11.1,326.0,1008.9,2015,5,0,124,Summer,0,Train
2015-05-05,noida_sector_1,305.0,Very Poor,127.6,294.4,70.8,28.7,20.3,1.87,70.8,0.06,30.8,41.5,9.1,338.0,1007.8,2015,5,1,125,Summer,0,Train
2015-05-06,noida_sector_1,309.0,Very Poor,131.8,229.0,61.7,28.3,17.4,1.73,59.1,0.06,29.0,31.4,12.8,276.0,1006.7,2015,5,2,126,Summer,0,Train
2015-05-07,noida_sector_1,314.0,Very Poor,139.2,257.0,50.7,23.4,18.3,2.01,72.1,0.05,30.1,34.5,10.7,332.0,1007.6,2015,5,3,127,Summer,0,Train
2015-05-08,noida_sector_1,290.0,Poor,117.0,285.9,53.8,31.4,17.3,1.76,65.4,0.04,27.5,35.8,14.6,321.0,1007.2,2015,5,4,128,Summer,0,Train
2015-05-09,noida_sector_1,298.0,Poor,119.4,279.9,49.3,24.3,23.5,1.89,66.7,0.05,31.4,33.5,10.2,319.0,1006.5,2015,5,5,129,Summer,0,Train
2015-05-10,noida_sector_1,302.0,Very Poor,122.8,201.2,72.4,26.3,15.2,1.66,74.8,0.02,29.8,42.2,12.6,30.0,1004.7,2015,5,6,130,Summer,0,Train
2015-05-11,noida_sector_1,309.0,Very Poor,132.2,246.6,59.9,31.4,17.2,1.73,76.9,0.03,28.8,27.2,11.6,313.0,1005.7,2015,5,0,131,Summer,0,Train
2015-05-12,noida_sector_1,244.0,Poor,103.2,233.9,53.2,19.8,12.7,1.45,54.5,0.04,30.8,28.2,11.1,16.0,1005.3,2015,5,1,132,Summer,0,Train
2015-05-13,noida_sector_1,207.0,Poor,92.2,218.8,59.1,20.3,15.1,1.59,65.8,0.07,32.7,44.3,8.8,300.0,1005.6,2015,5,2,133,Summer,0,Train
2015-05-14,noida_sector_1,303.0,Very Poor,124.1,226.9,61.6,25.5,15.8,1.81,75.1,0.04,31.4,37.6,9.4,325.0,1006.3,2015,5,3,134,Summer,0,Train
2015-05-15,noida_sector_1,318.0,Very Poor,143.5,203.0,59.2,28.3,16.4,1.9,67.8,0.05,31.0,49.1,11.7,325.0,1005.6,2015,5,4,135,Summer,0,Train
2015-05-16,noida_sector_1,237.0,Poor,101.1,272.9,55.2,28.1,16.7,1.2,66.4,0.04,30.8,37.4,12.1,324.0,1002.9,2015,5,5,136,Summer,0,Train
2015-05-17,noida_sector_1,280.0,Poor,114.0,215.0,52.2,28.1,17.7,1.35,62.4,0.05,33.5,37.8,7.2,321.0,1004.9,2015,5,6,137,Summer,0,Train
2015-05-18,noida_sector_1,229.0,Poor,98.9,249.6,51.8,29.1,16.7,1.38,73.8,0.05,34.1,40.1,11.3,343.0,1004.0,2015,5,0,138,Summer,0,Train
2015-05-19,noida_sector_1,280.0,Poor,114.1,213.7,53.5,21.2,19.5,1.43,79.7,0.04,28.9,40.9,9.3,344.0,1004.5,2015,5,1,139,Summer,0,Train
2015-05-20,noida_sector_1,260.0,Poor,108.0,230.1,47.1,27.3,15.8,1.67,72.8,0.04,35.2,36.2,12.5,318.0,1004.5,2015,5,2,140,Summer,0,Train
2015-05-21,noida_sector_1,263.0,Poor,108.9,269.1,64.1,31.1,16.7,1.77,60.2,0.04,34.8,46.9,5.1,7.0,1004.0,2015,5,3,141,Summer,0,Train
2015-05-22,noida_sector_1,203.0,Poor,91.0,218.1,50.9,26.3,16.0,1.62,81.0,0.04,32.5,35.9,14.0,330.0,1002.3,2015,5,4,142,Summer,0,Train
2015-05-23,noida_sector_1,192.0,Moderate,87.6,232.9,79.3,25.0,20.0,1.54,63.4,0.05,33.6,42.5,8.3,3.0,1004.8,2015,5,5,143,Summer,0,Train
2015-05-24,noida_sector_1,231.0,Poor,99.6,222.0,41.3,23.5,18.6,1.34,69.8,0.04,33.0,39.8,7.0,17.0,1005.7,2015,5,6,144,Summer,0,Train
2015-05-25,noida_sector_1,224.0,Poor,97.3,200.0,58.3,24.4,18.3,1.44,72.9,0.06,37.3,45.7,9.8,343.0,1005.0,2015,5,0,145,Summer,0,Train
